gvkey,conm,weburl,found,visible,paragraphs,words,fog,overall,tptrackingcookies
16101,ABBVIE INC,www.abbvie.com,1,1,47,3712,19.051804,.69420099,9
160329,ALPHABET INC,www.abc.xyz,1,0,97,9791.4697,17.729685,-.039657265,0
326502,ABCANN GLOBAL CORP,www.abcannglobal.com,0,0,,,,,0
12713,ABEONA THERAPEUTICS INC,www.abeonatherapeutics.com,1,1,43,1576,15.868281,1.0236967,0
63643,ABERCROMBIE & FITCH  -CL A,www.abercrombie.com,1,0,51,4322,19.158407,.79201245,
62545,ABERDEEN INTERNATIONAL INC,www.aberdeeninternational.ca,0,0,,,,,2
14592,ALLIANCEBERNSTEIN HOLDING LP,www.abglobal.com,1,1,40,1822,20.196728,1.0621452,3
187661,ABITIBI ROYALTIES INC,www.abitibiroyalties.com,0,0,,,,,0
1410,ABM INDUSTRIES INC,www.abm.com,1,1,36,1930,18.579256,.50124139,20
21136,AMERICAN BIO MEDICA CORP,www.abmc.com,0,0,,,,,0
7154,MCDONALD'S CORP,www.aboutmcdonalds.com,1,1,159.92,9791.4697,19.361937,.8168174,2
13988,SCHWAB (CHARLES) CORP,www.aboutschwab.com,1,0,64,4486,21.192677,-.36545309,0
24005,ABRAXAS PETROLEUM CORP/NV,www.abraxaspetroleum.com,0,0,,,,,0
133364,ABSOLUTE SOFTWARE CORP,www.absolute.com,1,1,20,588,19.257063,-.31386939,8
26722,ACACIA COMMUNICATIONS INC,www.acacia-inc.com,1,1,20,1139,19.841249,.54558063,1
61004,ACACIA RESEARCH CORP,www.acaciaresearch.com,0,0,,,,,0
141846,ACADIA PHARMACEUTICALS INC,www.acadia-pharm.com,1,1,7,534,12.735002,-.016659569,0
192255,ACADIA HEALTHCARE CO INC,www.acadiahealthcare.com,1,1,36,2349,19.588961,.056001231,1
165981,ACADIAN TIMBER CORP,www.acadiantimber.com,1,1,42,2018,22.215422,.82922381,0
28323,ACADIA REALTY TRUST,www.acadiarealty.com,1,1,11,736,17.160048,-.85568595,0
62527,AMB FINANCIAL CORP,www.acbanker.com,1,1,9,431,11.837566,-.42999536,0
21118,ACCELERATE DIAGNOSTICS INC,www.acceleratediagnostics.com,1,1,29,1665,15.911239,-.78849351,3
179137,ACCELERIZE INC,www.accelerize.com,1,1,27,1869,19.534304,.010806868,1
18510,ACCELERON PHARMA INC,www.acceleronpharma.com,0,1,,,,,0
143357,ACCENTURE PLC,www.accenture.com,1,1,85,3529,18.402874,1.009238,3
160891,ACCESS NATIONAL CORP,www.accessnationalbank.com,1,1,11,627,18.20409,-.37695563,0
164506,ACCO BRANDS CORP,www.accobrands.com,1,1,49,2413,15.647498,.5611856,0
25395,ACCORD FINANCIAL CORP,www.accordfinancial.com,1,1,25,2148,19.307682,-.30242231,0
176670,ACCURAY INC,www.accuray.com,1,1,34,2105,17.988962,.47987431,2
185908,ACELRX PHARMACEUTICALS INC,www.acelrx.com,1,1,19,1817,16.911289,-.5494315,1
187672,ACERUS PHARMACEUTICALS CORP,www.aceruspharma.com,1,1,16,1045,19.107561,-.68208909,1
1094,ACETO CORP,www.aceto.com,1,1,8,713,20.843004,.26103944,
19718,ACHAOGEN INC,www.achaogen.com,1,1,14,750,16.440001,.24340869,0
